age_Ma,sealevel_m
-205,-15
-204.5,-6.42
-204,0
-203.5,6.72
-203,11.53
-202.6,15
-202.2,17.76
-201.9,19.85
-201.6,23
-201.3,24
-200.8,28
-200.6,29.35
-200.4,31.02
-200.2,32.68
-200,35
-199.8,35.76
-199.7,36.45
-199.4,38.2
-199,35
-198.4,39.15
-198,37.31
-197.7,35.25
-197.5,35
-197.4,32.68
-197.1,29.68
-196.6,23.89
-196.2,23
-195.8,13.35
-195,2.42
-194.6,-2.77
-194.4,-8
-194.1,-8.66
-193.7,-12.8
-193.3,-16.4
-192.7,-20.69
-192.4,-25
-192.2,-23.21
-191.9,-24.23
-191.6,-24.87
-191.4,-24
-191.2,-25.12
-190.9,-24.99
-190.6,-24.81
-190.3,-20
-190.1,-25
-189.8,-25.76
-189.5,-27.26
-189.3,-30
-189.1,-30.75
-188.9,-32.96
-188.7,-38
-188.5,-37.13
-188.4,-40
-188,-39.72
-187.5,-37
-187,-35.67
-186.9,-34.75
-186.7,-32.68
-186.3,-25
-186,-23.81
-185.7,-19.54
-185,-9.57
-184.8,-10
-184.5,-3.27
-184,1.26
-183.3,3
-182.9,-1.02
-182.6,-5.86
-182.5,-7
-181.9,-25.21
-181.4,-42.47
-180.9,-60
-180.5,-68.63
-180.3,-72.57
-180.1,-75
-179.8,-79.42
-179.5,-81.73
-179.3,-82.66
-179.1,-83
-179,-83.31
-178.9,-83.37
-178.7,-83.28
-178.4,-83
-178,-81.67
-177.6,-80
-177.4,-78.73
-177.3,-78.05
-176.9,-75
-176.7,-72.46
-176.6,-71.25
-176.4,-68.55
-176,-60
-175.7,-55.95
-175.6,-53.8
-175.3,-47.12
-175,-43
-174.8,-36.21
-174.6,-32.3
-174,-23.74
-173.7,-22
-173.6,-21.96
-173.3,-23.06
-173.2,-23.82
-173,-23
-172.8,-28.25
-172.5,-32.54
-172.5,-32.54
-172.3,-37
-172,-40.07
-171.6,-45.51
-171.4,-47.81
-170.8,-53
-170,-50
-169.9,-47.66
-169.8,-45
-169.6,-42.79
-169.5,-41.02
-169.3,-37.53
-169.2,-35
-169.1,-34.42
-169,-33.13
-168.8,-32
-168.7,-30.84
-168.6,-30.69
-168.3,-32
-168,-35.15
-167.9,-36.6
-167.7,-39.93
-167.5,-43
-167.3,-47.75
-167.2,-49.83
-167,-54
-166.9,-55
-166.7,-59.97
-166.5,-63.54
-166.2,-70
-165.8,-71.2
-165.7,-71.62
-165.5,-72
-165.4,-72.02
-165.2,-72
-165,-70.86
-164.6,-67
-164.4,-66.73
-164.2,-65.06
-164,-62
-163.8,-61.76
-163.6,-60.31
-163.4,-60
-163.1,-57.87
-162.7,-57.31
-162.5,-60
-162.1,-58.52
-161.8,-59.96
-161.6,-61.2
-161.5,-62
-161.2,-64.27
-161,-65
-160.9,-67.04
-160.8,-68
-160.5,-71.28
-160.4,-72.42
-160.2,-73
-160.1,-76.03
-159.9,-78.57
-159.7,-81.19
-159.4,-84
-159.2,-88.05
-159,-90.87
-158.8,-93.72
-158.5,-98.01
-158.2,-104
-158,-105.1
-157.7,-109.25
-157.5,-111.93
-157.4,-115
-157.2,-115.81
-157,-118
-156.8,-120.63
-156.5,-125
-156.2,-127.05
-156,-128.97
-155.9,-130
-155.8,-130.79
-155.6,-132.5
-155.5,-133
-155.2,-135.61
-154.8,-137
-154.5,-140.07
-154.3,-141.11
-154.1,-140
-153.8,-143.3
-153.5,-144.33
-153.3,-145
-152.9,-145.74
-152.6,-146.14
-152.4,-146.29
-152.2,-148
-152,-146.32
-151.7,-146.11
-151.3,-145.54
-150.9,-145
-150.7,-144.05
-150.4,-143.02
-150,-141.38
-149.8,-140
-149.6,-139.41
-149.4,-138.28
-149.1,-136.33
-148.8,-134
-148.6,-132.1
-148.4,-129.99
-148.3,-129
-148.1,-126.3
-147.9,-123.54
-147.7,-120.63
-147.5,-117
-147.3,-114.64
-147,-110.3
-146.8,-107.6
-146.5,-105
-146.3,-102.11
-146.1,-100.5
-145.7,-98.24
-145.4,-97
-145,-96.88
-144.8,-97.01
-144.6,-97.32
-144.2,-97
-143.9,-99.67
-143.6,-101.09
-143,-104.27
-142.7,-108
-142,-109.06
-141.5,-110.42
-141,-110.61
-140.7,-108
-140,-107
